cod,mun,ano,feijao,milho,total
2300101,Abaiara ,1974,0.0,0.0,0.0
2300101,Abaiara ,1975,0.0,0.0,0.0
2300101,Abaiara ,1976,0.0,0.0,0.0
2300101,Abaiara ,1977,0.0,0.0,0.0
2300101,Abaiara ,1978,0.0,0.0,0.0
2300101,Abaiara ,1979,0.0,0.0,0.0
2300101,Abaiara ,1980,0.0,0.0,0.0
2300101,Abaiara ,1981,0.0,0.0,0.0
2300101,Abaiara ,1982,0.0,0.0,0.0
2300101,Abaiara ,1983,0.0,0.0,0.0
2300101,Abaiara ,1984,0.0,0.0,0.0
2300101,Abaiara ,1985,0.0,0.0,0.0
2300101,Abaiara ,1986,0.0,0.0,0.0
2300101,Abaiara ,1987,0.0,0.0,0.0
2300101,Abaiara ,1988,450.0,700.0,1150.0
2300101,Abaiara ,1989,544.0,840.0,1384.0
2300101,Abaiara ,1990,596.0,1344.0,1940.0
2300101,Abaiara ,1991,1521.0,2060.0,3581.0
2300101,Abaiara ,1992,1560.0,2060.0,3620.0
2300101,Abaiara ,1993,1715.0,2200.0,3915.0
2300101,Abaiara ,1994,1701.0,3662.0,5363.0
2300101,Abaiara ,1995,1250.0,3650.0,4900.0
2300101,Abaiara ,1996,3000.0,3680.0,6680.0
2300101,Abaiara ,1997,3000.0,3500.0,6500.0
2300101,Abaiara ,1998,1260.0,2200.0,3460.0
2300101,Abaiara ,1999,1350.0,2200.0,3550.0
2300101,Abaiara ,2000,1950.0,3280.0,5230.0
2300101,Abaiara ,2001,1550.0,3270.0,4820.0
2300101,Abaiara ,2002,1310.0,2560.0,3870.0
2300101,Abaiara ,2003,1300.0,2800.0,4100.0
2300101,Abaiara ,2004,1520.0,2660.0,4180.0
2300101,Abaiara ,2005,532.0,1158.0,1690.0
2300101,Abaiara ,2006,750.0,1440.0,2190.0
2300101,Abaiara ,2007,1520.0,3810.0,5330.0
2300101,Abaiara ,2008,988.0,1870.0,2858.0
2300101,Abaiara ,2009,1200.0,2000.0,3200.0
2300101,Abaiara ,2010,646.0,2062.0,2708.0
2300101,Abaiara ,2011,682.0,2337.0,3019.0
2300101,Abaiara ,2012,546.0,2244.0,2790.0
2300101,Abaiara ,2013,464.0,1436.0,1900.0
2300101,Abaiara ,2014,315.0,1490.0,1805.0
2300101,Abaiara ,2015,245.0,738.0,983.0
2300101,Abaiara ,2016,180.0,500.0,680.0
2300101,Abaiara ,2017,1000.0,1530.0,2530.0
2300101,Abaiara ,2018,1055.0,1836.0,2891.0
2300101,Abaiara ,2019,1030.0,1590.0,2620.0
2300101,Abaiara ,2020,900.0,1600.0,2500.0
2300101,Abaiara ,2021,910.0,1700.0,2610.0
2300150,Acarape ,1974,0.0,0.0,0.0
2300150,Acarape ,1975,0.0,0.0,0.0
2300150,Acarape ,1976,0.0,0.0,0.0
2300150,Acarape ,1977,0.0,0.0,0.0
2300150,Acarape ,1978,0.0,0.0,0.0
2300150,Acarape ,1979,0.0,0.0,0.0
2300150,Acarape ,1980,0.0,0.0,0.0
2300150,Acarape ,1981,0.0,0.0,0.0
2300150,Acarape ,1982,0.0,0.0,0.0
2300150,Acarape ,1983,0.0,0.0,0.0
2300150,Acarape ,1984,0.0,0.0,0.0
2300150,Acarape ,1985,0.0,0.0,0.0
2300150,Acarape ,1986,0.0,0.0,0.0
2300150,Acarape ,1987,0.0,0.0,0.0
2300150,Acarape ,1988,0.0,0.0,0.0
2300150,Acarape ,1989,543.0,264.0,807.0
2300150,Acarape ,1990,544.0,270.0,814.0
2300150,Acarape ,1991,580.0,300.0,880.0
2300150,Acarape ,1992,610.0,330.0,940.0
2300150,Acarape ,1993,630.0,390.0,1020.0
2300150,Acarape ,1994,615.0,370.0,985.0
2300150,Acarape ,1995,624.0,380.0,1004.0
2300150,Acarape ,1996,70.0,100.0,170.0
2300150,Acarape ,1997,61.0,93.0,154.0
2300150,Acarape ,1998,67.0,93.0,160.0
2300150,Acarape ,1999,103.0,100.0,203.0
2300150,Acarape ,2000,562.0,498.0,1060.0
2300150,Acarape ,2001,525.0,445.0,970.0
2300150,Acarape ,2002,613.0,483.0,1096.0
2300150,Acarape ,2003,503.0,505.0,1008.0
2300150,Acarape ,2004,727.0,490.0,1217.0
2300150,Acarape ,2005,850.0,590.0,1440.0
2300150,Acarape ,2006,806.0,470.0,1276.0
2300150,Acarape ,2007,848.0,525.0,1373.0
2300150,Acarape ,2008,728.0,535.0,1263.0
2300150,Acarape ,2009,733.0,579.0,1312.0
2300150,Acarape ,2010,462.0,397.0,859.0
2300150,Acarape ,2011,770.0,530.0,1300.0
2300150,Acarape ,2012,448.0,385.0,833.0
2300150,Acarape ,2013,345.0,339.0,684.0
2300150,Acarape ,2014,570.0,425.0,995.0
2300150,Acarape ,2015,410.0,395.0,805.0
2300150,Acarape ,2016,420.0,380.0,800.0
2300150,Acarape ,2017,425.0,345.0,770.0
2300150,Acarape ,2018,415.0,340.0,755.0
2300150,Acarape ,2019,420.0,400.0,820.0
2300150,Acarape ,2020,440.0,410.0,850.0
2300150,Acarape ,2021,444.0,414.0,858.0
2300200,Acaraú ,1974,0.0,0.0,0.0
2300200,Acaraú ,1975,0.0,0.0,0.0
2300200,Acaraú ,1976,0.0,0.0,0.0
2300200,Acaraú ,1977,0.0,0.0,0.0
2300200,Acaraú ,1978,0.0,0.0,0.0
2300200,Acaraú ,1979,0.0,0.0,0.0
2300200,Acaraú ,1980,0.0,0.0,0.0
2300200,Acaraú ,1981,0.0,0.0,0.0
2300200,Acaraú ,1982,0.0,0.0,0.0
2300200,Acaraú ,1983,0.0,0.0,0.0
2300200,Acaraú ,1984,0.0,0.0,0.0
2300200,Acaraú ,1985,0.0,0.0,0.0
