cod,mun,ano,feijao,milho,total
2300101,Abaiara ,1974,359.0,623.0,982.0
2300101,Abaiara ,1975,484.0,504.0,988.0
2300101,Abaiara ,1976,221.0,190.0,411.0
2300101,Abaiara ,1977,410.0,516.0,926.0
2300101,Abaiara ,1978,396.0,504.0,900.0
2300101,Abaiara ,1979,405.0,811.0,1216.0
2300101,Abaiara ,1980,195.0,234.0,429.0
2300101,Abaiara ,1981,67.0,35.0,102.0
2300101,Abaiara ,1982,130.0,216.0,346.0
2300101,Abaiara ,1983,162.0,104.0,266.0
2300101,Abaiara ,1984,439.0,162.0,601.0
2300101,Abaiara ,1985,144.0,147.0,291.0
2300101,Abaiara ,1986,144.0,245.0,389.0
2300101,Abaiara ,1987,89.0,191.0,280.0
2300101,Abaiara ,1988,135.0,252.0,387.0
2300101,Abaiara ,1989,117.0,242.0,359.0
2300101,Abaiara ,1990,80.0,150.0,230.0
2300101,Abaiara ,1991,647.0,865.0,1512.0
2300101,Abaiara ,1992,338.0,968.0,1306.0
2300101,Abaiara ,1993,263.0,750.0,1013.0
2300101,Abaiara ,1994,1113.0,3369.0,4482.0
2300101,Abaiara ,1995,803.0,4562.0,5365.0
2300101,Abaiara ,1996,2394.0,6256.0,8650.0
2300101,Abaiara ,1997,2250.0,6125.0,8375.0
2300101,Abaiara ,1998,154.0,1833.0,1987.0
2300101,Abaiara ,1999,653.0,5940.0,6593.0
2300101,Abaiara ,2000,1073.0,8856.0,9929.0
2300101,Abaiara ,2001,187.0,4201.0,4388.0
2300101,Abaiara ,2002,432.0,5478.0,5910.0
2300101,Abaiara ,2003,702.0,5236.0,5938.0
2300101,Abaiara ,2004,445.0,2934.0,3379.0
2300101,Abaiara ,2005,117.0,903.0,1020.0
2300101,Abaiara ,2006,450.0,2880.0,3330.0
2300101,Abaiara ,2007,353.0,3225.0,3578.0
2300101,Abaiara ,2008,494.0,2805.0,3299.0
2300101,Abaiara ,2009,648.0,3312.0,3960.0
2300101,Abaiara ,2010,48.0,1018.0,1066.0
2300101,Abaiara ,2011,520.0,5150.0,5670.0
2300101,Abaiara ,2012,98.0,1571.0,1669.0
2300101,Abaiara ,2013,86.0,1611.0,1697.0
2300101,Abaiara ,2014,208.0,3284.0,3492.0
2300101,Abaiara ,2015,71.0,682.0,753.0
2300101,Abaiara ,2016,11.0,240.0,251.0
2300101,Abaiara ,2017,500.0,5508.0,6008.0
2300101,Abaiara ,2018,491.0,3966.0,4457.0
2300101,Abaiara ,2019,206.0,1018.0,1224.0
2300101,Abaiara ,2020,432.0,3931.0,4363.0
2300101,Abaiara ,2021,319.0,3711.0,4030.0
2300150,Acarape ,1974,0.0,0.0,0.0
2300150,Acarape ,1975,0.0,0.0,0.0
2300150,Acarape ,1976,0.0,0.0,0.0
2300150,Acarape ,1977,0.0,0.0,0.0
2300150,Acarape ,1978,0.0,0.0,0.0
2300150,Acarape ,1979,0.0,0.0,0.0
