cod,mun,ano,feijao,milho,total
2300101,Abaiara ,1974,433.0,751.0,1184.0
2300101,Abaiara ,1975,576.0,600.0,1176.0
2300101,Abaiara ,1976,270.0,500.0,770.0
2300101,Abaiara ,1977,500.0,600.0,1100.0
2300101,Abaiara ,1978,450.0,560.0,1010.0
2300101,Abaiara ,1979,450.0,1200.0,1650.0
2300101,Abaiara ,1980,276.0,312.0,588.0
2300101,Abaiara ,1981,303.0,285.0,588.0
2300101,Abaiara ,1982,361.0,600.0,961.0
2300101,Abaiara ,1983,450.0,291.0,741.0
2300101,Abaiara ,1984,450.0,450.0,900.0
2300101,Abaiara ,1985,450.0,420.0,870.0
2300101,Abaiara ,1986,450.0,700.0,1150.0
2300101,Abaiara ,1987,213.0,279.0,492.0
2300101,Abaiara ,1988,300.0,360.0,660.0
2300101,Abaiara ,1989,215.0,288.0,503.0
2300101,Abaiara ,1990,205.0,159.0,364.0
2300101,Abaiara ,1991,425.0,419.0,844.0
2300101,Abaiara ,1992,216.0,469.0,685.0
2300101,Abaiara ,1993,153.0,340.0,493.0
2300101,Abaiara ,1994,654.0,919.0,1573.0
2300101,Abaiara ,1995,642.0,1249.0,1891.0
2300101,Abaiara ,1996,798.0,1700.0,2498.0
2300101,Abaiara ,1997,750.0,1750.0,2500.0
2300101,Abaiara ,1998,122.0,833.0,955.0
2300101,Abaiara ,1999,483.0,2700.0,3183.0
2300101,Abaiara ,2000,550.0,2700.0,3250.0
2300101,Abaiara ,2001,120.0,1284.0,1404.0
2300101,Abaiara ,2002,329.0,2139.0,2468.0
2300101,Abaiara ,2003,540.0,1870.0,2410.0
2300101,Abaiara ,2004,333.0,1103.0,1436.0
2300101,Abaiara ,2005,219.0,779.0,998.0
2300101,Abaiara ,2006,600.0,2000.0,2600.0
2300101,Abaiara ,2007,232.0,846.0,1078.0
2300101,Abaiara ,2008,500.0,1500.0,2000.0
2300101,Abaiara ,2009,540.0,1656.0,2196.0
2300101,Abaiara ,2010,74.0,493.0,567.0
2300101,Abaiara ,2011,762.0,2204.0,2966.0
2300101,Abaiara ,2012,179.0,700.0,879.0
2300101,Abaiara ,2013,185.0,1122.0,1307.0
2300101,Abaiara ,2014,660.0,2204.0,2864.0
2300101,Abaiara ,2015,290.0,924.0,1214.0
2300101,Abaiara ,2016,61.0,480.0,541.0
2300101,Abaiara ,2017,500.0,3600.0,4100.0
2300101,Abaiara ,2018,465.0,2160.0,2625.0
2300101,Abaiara ,2019,200.0,640.0,840.0
2300101,Abaiara ,2020,480.0,2457.0,2937.0
2300101,Abaiara ,2021,351.0,2183.0,2534.0
2300150,Acarape ,1974,0.0,0.0,0.0
2300150,Acarape ,1975,0.0,0.0,0.0
2300150,Acarape ,1976,0.0,0.0,0.0
2300150,Acarape ,1977,0.0,0.0,0.0
2300150,Acarape ,1978,0.0,0.0,0.0
2300150,Acarape ,1979,0.0,0.0,0.0
2300150,Acarape ,1980,0.0,0.0,0.0
2300150,Acarape ,1981,0.0,0.0,0.0
2300150,Acarape ,1982,0.0,0.0,0.0
2300150,Acarape ,1983,0.0,0.0,0.0
2300150,Acarape ,1984,0.0,0.0,0.0
2300150,Acarape ,1985,0.0,0.0,0.0
2300150,Acarape ,1986,0.0,0.0,0.0
2300150,Acarape ,1987,0.0,0.0,0.0
2300150,Acarape ,1988,0.0,0.0,0.0
2300150,Acarape ,1989,340.0,513.0,853.0
2300150,Acarape ,1990,325.0,628.0,953.0
2300150,Acarape ,1991,350.0,700.0,1050.0
2300150,Acarape ,1992,260.0,452.0,712.0
2300150,Acarape ,1993,164.0,217.0,381.0
2300150,Acarape ,1994,373.0,989.0,1362.0
2300150,Acarape ,1995,256.0,1100.0,1356.0
2300150,Acarape ,1996,357.0,900.0,1257.0
2300150,Acarape ,1997,344.0,795.0,1139.0
2300150,Acarape ,1998,208.0,236.0,444.0
2300150,Acarape ,1999,601.0,420.0,1021.0
2300150,Acarape ,2000,512.0,901.0,1413.0
2300150,Acarape ,2001,514.0,826.0,1340.0
2300150,Acarape ,2002,494.0,1182.0,1676.0
2300150,Acarape ,2003,495.0,1112.0,1607.0
2300150,Acarape ,2004,499.0,1128.0,1627.0
2300150,Acarape ,2005,523.0,1150.0,1673.0
2300150,Acarape ,2006,612.0,1227.0,1839.0
2300150,Acarape ,2007,343.0,927.0,1270.0
2300150,Acarape ,2008,489.0,1200.0,1689.0
2300150,Acarape ,2009,237.0,782.0,1019.0
2300150,Acarape ,2010,170.0,309.0,479.0
2300150,Acarape ,2011,351.0,1094.0,1445.0
2300150,Acarape ,2012,192.0,288.0,480.0
2300150,Acarape ,2013,258.0,487.0,745.0
2300150,Acarape ,2014,558.0,986.0,1544.0
2300150,Acarape ,2015,395.0,815.0,1210.0
2300150,Acarape ,2016,231.0,400.0,631.0
2300150,Acarape ,2017,400.0,922.0,1322.0
2300150,Acarape ,2018,412.0,1012.0,1424.0
2300150,Acarape ,2019,433.0,1055.0,1488.0
2300150,Acarape ,2020,409.0,1007.0,1416.0
2300150,Acarape ,2021,423.0,1360.0,1783.0
2300200,Acaraú ,1974,200.0,400.0,600.0
2300200,Acaraú ,1975,350.0,400.0,750.0
2300200,Acaraú ,1976,127.0,300.0,427.0
2300200,Acaraú ,1977,200.0,471.0,671.0
2300200,Acaraú ,1978,200.0,330.0,530.0
2300200,Acaraú ,1979,255.0,356.0,611.0
2300200,Acaraú ,1980,127.0,164.0,291.0
2300200,Acaraú ,1981,212.0,267.0,479.0
2300200,Acaraú ,1982,300.0,540.0,840.0
2300200,Acaraú ,1983,155.0,90.0,245.0
2300200,Acaraú ,1984,300.0,450.0,750.0
2300200,Acaraú ,1985,144.0,221.0,365.0
2300200,Acaraú ,1986,194.0,450.0,644.0
2300200,Acaraú ,1987,240.0,250.0,490.0
2300200,Acaraú ,1988,221.0,420.0,641.0
2300200,Acaraú ,1989,167.0,420.0,587.0
2300200,Acaraú ,1990,169.0,126.0,295.0
2300200,Acaraú ,1991,342.0,420.0,762.0
2300200,Acaraú ,1992,175.0,200.0,375.0
2300200,Acaraú ,1993,109.0,42.0,151.0
2300200,Acaraú ,1994,242.0,400.0,642.0
2300200,Acaraú ,1995,141.0,420.0,561.0
2300200,Acaraú ,1996,232.0,373.0,605.0
2300200,Acaraú ,1997,192.0,209.0,401.0
2300200,Acaraú ,1998,186.0,240.0,426.0
2300200,Acaraú ,1999,260.0,420.0,680.0
2300200,Acaraú ,2000,233.0,600.0,833.0
2300200,Acaraú ,2001,217.0,170.0,387.0
2300200,Acaraú ,2002,348.0,420.0,768.0
2300200,Acaraú ,2003,210.0,336.0,546.0
2300200,Acaraú ,2004,274.0,168.0,442.0
2300200,Acaraú ,2005,321.0,172.0,493.0
2300200,Acaraú ,2006,454.0,419.0,873.0
2300200,Acaraú ,2007,285.0,135.0,420.0
2300200,Acaraú ,2008,397.0,405.0,802.0
2300200,Acaraú ,2009,207.0,210.0,417.0
2300200,Acaraú ,2010,212.0,50.0,262.0
2300200,Acaraú ,2011,505.0,497.0,1002.0
2300200,Acaraú ,2012,229.0,150.0,379.0
2300200,Acaraú ,2013,191.0,120.0,311.0
2300200,Acaraú ,2014,325.0,100.0,425.0
2300200,Acaraú ,2015,266.0,324.0,590.0
2300200,Acaraú ,2016,168.0,48.0,216.0
2300200,Acaraú ,2017,238.0,600.0,838.0
2300200,Acaraú ,2018,362.0,450.0,812.0
2300200,Acaraú ,2019,58.0,135.0,193.0
2300200,Acaraú ,2020,404.0,500.0,904.0
2300200,Acaraú ,2021,414.0,360.0,774.0
2300309,Acopiara ,1974,150.0,450.0,600.0
2300309,Acopiara ,1975,150.0,600.0,750.0
2300309,Acopiara ,1976,200.0,446.0,646.0
2300309,Acopiara ,1977,150.0,600.0,750.0
2300309,Acopiara ,1978,185.0,560.0,745.0
2300309,Acopiara ,1979,282.0,283.0,565.0
2300309,Acopiara ,1980,44.0,234.0,278.0
2300309,Acopiara ,1981,152.0,255.0,407.0
2300309,Acopiara ,1982,150.0,150.0,300.0
